fileName;G1;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G20;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G38;G39;G40;
Mehrjahresplan erstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;false;true;true;true;true;true;true;true;true;false;true;true;true;true;false;
Mitarbeiter einarbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;false;true;true;true;true;
Mitarbeitergespräch führen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;true;true;true;true;true;true;
Motion_Postulat beantworten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Parlamentsprotokoll erstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Parlamentssitzung verarbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Parlamentssitzung vorbereiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;false;true;true;true;true;false;
Patent für Anlass erteilen.bpmn;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Patent für einen Betrieb ausstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Patentpflicht Anlass abklären.bpmn;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;true;true;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Personal rekrutieren.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Personalaustritt bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;
Pfändung vollziehen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;false;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;
Referendumsart ermitteln.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Schlusskontrolle durch BG durchführen (8.8).bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Schlussrechnung stellen und Dossier archivieren (8.10).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Spezialkontrolle erfassen (8.2).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Stadtratsbeschluss verarbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;true;true;
Stadtratsitzung vorbereiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Stadtratsprotokoll erstellen.bpmn;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Stelle ausschreiben.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;
Stelle besetzen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;
Stellungnahme abgeben - Vernehmlassungsweg kurz - Baugesuch (5.3).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;false;true;true;false;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Stellungnahme abgeben - Vernehmlassungsweg lang - Baugesuch (5.2).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Stellungnahme bekanntmachen - Baugesuch (6.2).bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;false;true;false;true;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Stundenlohn abrechnen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Tagesauszug PostFinance verarbeiten.bpmn;true;true;true;false;true;true;true;false;true;true;true;false;true;false;true;true;true;false;true;true;true;false;true;false;false;false;false;false;true;true;true;true;true;false;false;true;true;true;true;false;
Teilstrassenplan_Strassenprojekt erlassen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;false;false;true;true;true;true;true;true;true;true;true;true;true;true;false;
Teilzonenplan genehmigen lassen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;
Tombola-_Lottobewilligung erteilen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Verkürzung Schliessungszeit für Anlässe bewilligen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Verlustschein ausstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;false;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;
Vernehmlassung durchführen - Baugesuch (5.1).bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;true;false;false;false;false;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;
Verträge für alle Beschaffungsverfahren erstellen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;false;true;true;false;false;false;false;true;true;true;true;true;true;true;false;true;true;true;true;false;
Verwertungsbegehren bearbeiten.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true;false;true;false;false;true;true;true;true;false;true;false;true;true;true;true;
Waldveranstaltung bewilligen.bpmn;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;false;true;false;false;true;true;true;true;true;true;false;false;true;true;true;true;false;
Öffentliche Auflage durchführen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;false;false;false;true;true;true;true;true;true;true;false;false;true;true;true;true;false;
Überbauungsplan erlassen.bpmn;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;true;false;false;true;true;true;true;true;true;false;true;true;true;true;true;false;

True Percentage;99,12%;99,12%;100,00%;2,65%;100,00%;100,00%;100,00%;98,23%;99,12%;96,46%;100,00%;77,88%;100,00%;97,35%;100,00%;99,12%;97,35%;35,40%;100,00%;99,12%;92,92%;26,55%;93,81%;48,67%;32,74%;38,94%;39,82%;92,04%;87,61%;100,00%;100,00%;100,00%;100,00%;56,64%;64,60%;82,30%;100,00%;100,00%;100,00%;22,12%;
